x,y,cluster,term,genes,cluster_label
7.4434066,4.105378,Cluster 2,methylmalonic acidemia,MCEE MMAB MMUT MMAA MMADHC ,Unresolved
7.353769,5.722773,Cluster 2,glioma,IDH1 PTCH2 CTNNB1 ERBB2 SUFU BRCA2 TP53 ,Unresolved
7.797577,5.7058563,Cluster 2,neoplasm of the breast,NQO2 XRCC3 PALB2 ESR1 RAD51C RAD51 PPM1D RAD51D PIK3CA ATM KRAS TP53 PHB HMMR RB1CC1 PTEN BRCA1 BRCA2 STK11 BRIP1 CASP8 SLC22A18 RAD54L CDH1 CHEK2 AKT1 BARD1 ,Unresolved
7.367029,5.6352453,Cluster 2,lynch syndrome,EPCAM MLH1 MSH6 MSH2 MLH3 PMS2 TGFBR2 PMS1 ,Unresolved
7.914366,5.672291,Cluster 2,fanconi anemia,FANCI FANCL FANCB FANCA BRCA2 FANCC FANCF PALB2 FANCE FANCG RAD51C BRIP1 SLX4 FANCD2 ,Unresolved
7.854203,4.9647546,Cluster 2,combined oxidative phosphorylation deficiency,TUFM TRIT1 TSFM PNPT1 TRMT10C MARS2 ELAC2 MRPS22 TRMT5 MRPS2 GTPBP3 MRPS7 MRPL44 LYRM4 RMND1 SFXN4 CARS2 TARS2 TXN2 MTFMT MIPEP MRPS16 AARS2 GFM1 MRPS34 MICOS13 FARS2 MTO1 C12ORF65 ATP5F1A MRPL3 NARS2 AIFM1 C1QBP SLC25A26 EARS2 VARS2 ,Unresolved
7.469649,4.5380063,Cluster 2,congenital disorder of glycosylation,ALG9 COG8 SLC35C1 SRD5A3 COG7 PMM2 COG6 ALG8 SLC35A1 COG5 ALG6 COG4 SSR4 ALG3 DOLK MOGS ALG13 COG1 ALG1 ALG2 ALG12 ALG11 DPM1 DPM2 DPM3 DDOST RFT1 DPAGT1 B4GALT1 MPI TUSC3 NGLY1 TMEM165 MAGT1 MGAT2 MPDU1 PGM1 ,Unresolved
7.9054623,5.0584764,Cluster 2,pyruvate dehydrogenase complex deficiency,PDHA1 PDHX PDHB DLAT DLD ,Unresolved
7.725424,5.9533296,Cluster 2,de lange syndrome,RAD21 NIPBL SMC1A HDAC8 SMC3 ,Unresolved
7.822989,4.8479385,Cluster 2,leukoencephalopathy with vanishing white matter,EIF2B5 EIF2B4 EIF2B3 EIF2B2 EIF2B1 ,Unresolved
8.064985,4.349791,Cluster 2,diamond-blackfan anemia,RPL5 RPL11 RPL35 RPS7 RPL35A RPS27 RPS26 RPS29 RPS17 RPS28 RPS19 RPL26 RPL15 TSR2 RPS10 RPL27 RPS15A RPL18 RPS24 ,Unresolved
7.7094054,5.786146,Cluster 2,primary autosomal recessive microcephaly,PHC1 CEP135 KNL1 STIL WDR62 ASPM CENPE CDK6 CENPJ SASS6 CDK5RAP2 CEP152 ZNF335 MFSD2A MCPH1 ,Unresolved
7.9684567,5.298755,Cluster 2,leigh syndrome,SURF1 PDHA1 PDHX PDHB BCS1L SDHA LRPPRC PC COX15 DLAT DLD SCN4A COX10 ,Unresolved
7.7118487,4.368148,Cluster 2,disorder of organic acid metabolism,BCKDHB BCKDHA MMAB MCCC1 MCCC2 ACAT1 HMGCL MCEE DBT PCCB PCCA IVD PRDX1 MMUT MMAA MMACHC MMADHC GCDH ,Unresolved
8.083536,4.824272,Cluster 2,pontoneocerebellar hypoplasia,TSEN34 TSEN15 RARS2 AMPD2 VRK1 SEPSECS TSEN2 TSEN54 EXOSC8 PCLO CLP1 EXOSC9 VPS53 CHMP1A TBC1D23 EXOSC3 ,Unresolved
8.056918,5.158738,Cluster 2,disorders of intracellular cobalamin metabolism,LMBRD1 MTRR ZNF143 ABCD4 PRDX1 MTR MMACHC MMADHC THAP11 HCFC1 ,Unresolved
7.8868647,4.734702,Cluster 2,dyskeratosis congenita,WRAP53 DKC1 TERT TERC TINF2 NOP10 RTEL1 NHP2 ,Unresolved
7.4724803,5.0969715,Cluster 2,perrault syndrome,HARS2 LARS2 CLPP HSD17B4 TWNK ERAL1 ,Unresolved
7.541939,5.4905615,Cluster 2,familial adenomatous polyposis 1,MLH1 APC MSH6 MSH2 PMS2 ,Unresolved
7.1756697,5.900339,Cluster 2,familial colorectal cancer,GALNT12 MLH1 SMAD4 AXIN2 MSH2 SMAD7 MLH3 TGFBR2 STK11 EPCAM APC POLD1 MSH6 MUTYH PMS2 BMPR1A PMS1 ,Unresolved
6.9959307,4.3115177,Cluster 2,"peroxisome biogenesis disorders, zellweger syndrome spectrum",PEX19 PEX11B PEX1 PEX10 PEX3 PEX12 PEX2 PEX13 PEX14 PEX26 PEX16 PEX5 PEX7 PEX6 ,Unresolved
7.1373167,4.3566566,Cluster 2,peroxisome biogenesis disorders,PEX19 PEX11B PEX1 PEX10 PEX3 PEX12 PEX2 PEX13 PEX14 PEX26 PEX16 PEX5 AGPS GNPAT PEX7 PEX6 ,Unresolved
7.9975553,4.411752,Cluster 2,galloway-mowat syndrome,LAGE3 TP53RK TPRKB WDR73 OSGEP ,Unresolved
7.901142,5.822768,Cluster 2,familial cancer of breast,NQO2 XRCC3 PALB2 ESR1 RAD51C RAD51 PPM1D RAD51D PIK3CA ATM KRAS TP53 PHB HMMR RB1CC1 PTEN BRCA1 BRCA2 STK11 BRIP1 CASP8 SLC22A18 RAD54L CDH1 CHEK2 AKT1 BARD1 ,Unresolved
5.360802,3.6582272,Cluster 3,"muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type a, 1",FKRP POMT1 POMT2 FKTN LARGE1 ,Unresolved
4.9129953,4.7763343,Cluster 3,malignant tumor of esophagus,WWOX DCC LZTS1 RNF6 TGFBR2 ,Unresolved
5.882156,4.3953133,Cluster 3,malignant tumor of prostate,AR ZFHX3 KLF6 CDH1 MXI1 CHEK2 PTEN BRCA2 MAD1L1 ,Unresolved
5.4774637,4.3140836,Cluster 3,"meningioma, familial",SMARCE1 SUFU NF2 PDGFB PTEN MN1 ,Unresolved
4.214993,4.479147,Cluster 3,charcot-marie-tooth disease,MARS1 EGR2 MME TRPV4 GDAP1 WARS1 FIG4 GJB1 INF2 GARS1 MCM3AP GNB4 PMP22 DYNC1H1 RAB7A BSCL2 MTMR2 CNTNAP1 YARS1 DCTN2 PRPS1 HSPB8 IGHMBP2 LITAF JPH1 HK1 LRSAM1 HSPB1 NDRG1 DRP2 FGD4 DNAJB2 SGPL1 PRX SH3TC2 MPZ AIFM1 MFN2 NEFL KIF1B SBF2 MORC2 AARS1 SBF1 ,Unresolved
4.4290056,4.70466,Cluster 3,neurodegeneration with brain iron accumulation,FA2H DCAF17 ATP13A2 PANK2 PLA2G6 C19ORF12 CP FTL WDR45 ,Unresolved
4.5842066,5.0190682,Cluster 3,oculocutaneous albinism,OCA2 MC1R TYRP1 SLC45A2 LRMDA TYR ,Unresolved
4.525383,3.844516,Cluster 3,parkinson disease,TBP PRKN GBA ATP13A2 ADH1C MT-TT LRRK2 HTRA2 PARK7 PLA2G6 GIGYF2 NR4A2 GLUD2 ATXN2 PINK1 UCHL1 SNCAIP MAPT FBXO7 ATXN8OS VPS35 SNCA ,Unresolved
4.9421067,3.9061267,Cluster 3,malformation of cortical development,RELN ARX PAFAH1B1 DCX LAMB1 TUBA1A ,Unresolved
5.369281,4.585834,Cluster 3,permanent neonatal diabetes mellitus,KCNJ11 ABCC8 PDX1 INS GCK ,Unresolved
5.2220926,3.8766096,Cluster 3,prader-willi syndrome,MKRN3-AS1 SNRPN HERC2 NDN PWAR1 MKRN3 SNORD115-1 SNORD116-1 MAGEL2 PWRN1 IPW NPAP1 ,Unresolved
5.5117073,3.6997042,Cluster 3,alpha-dystroglycan related dystrophy,FKRP POMT1 GMPPB POMT2 FKTN LARGE1 ,Unresolved
4.4087825,3.9309282,Cluster 3,schizophrenia,RTN4R SLC1A1 NRXN1 MTHFR NRG1 HTR2A COMT SYN2 DAOA AKT1 DISC1 DRD3 DISC2 APOL2 PRODH CHI3L1 SHANK3 APOL4 RBM12 ,Unresolved
5.32541,4.5914474,Cluster 3,neonatal diabetes mellitus,ZFP57 KCNJ11 HYMAI ABCC8 PDX1 INS GCK ,Unresolved
5.1521297,4.2762885,Cluster 3,"parkinson disease, late-onset",TBP NR4A2 GLUD2 ATXN2 SNCAIP GBA MAPT ADH1C ATXN8OS ,Unresolved
4.318111,4.51383,Cluster 3,4p partial monosomy syndrome,LETM1 CPLX1 CTBP1 NSD2 WHCR FGFRL1 ,Unresolved
4.596286,3.7171323,Cluster 3,idiopathic generalized epilepsy,GABRB3 CACNB4 GABRA1 EFHC1 CLCN2 GABRG2 CACNA1H ,Unresolved
4.526688,3.6562757,Cluster 3,hyperekplexia,GLRA1 GLRB ARHGEF9 GPHN SLC6A5 ,Unresolved
4.0586634,3.6759713,Cluster 3,brugada syndrome,CACNB2 HCN4 KCNE3 CACNA1C GPD1L SCN5A SCN3B SCN1B ,Unresolved
4.3052206,4.8462033,Cluster 3,charcot-marie-tooth disease type 4,MTMR2 EGR2 GDAP1 HK1 NDRG1 FIG4 FGD4 PRX SH3TC2 MPZ PMP22 SBF2 SBF1 ,Unresolved
4.034886,3.7216446,Cluster 3,distal hereditary motor neuronopathy,SLC5A7 REEP1 GARS1 HSPB8 IGHMBP2 HSPB1 BSCL2 ,Unresolved
4.7864237,3.772999,Cluster 3,autism spectrum disorder,MECP2 SNRPN NLGN4X NLGN3 RPL10 PTCHD1 TBR1 SHANK2 ,Unresolved
4.9939303,3.987264,Cluster 3,lissencephaly,RELN ARX PAFAH1B1 DCX LAMB1 TUBA1A ,Unresolved
5.3677006,4.1704373,Cluster 3,congenital central hypoventilation,RET EDN3 GDNF PHOX2B ASCL1 ,Unresolved
4.122136,4.102121,Cluster 3,"charcot-marie-tooth disease, type 2",MARS1 MME HSPB8 TRPV4 IGHMBP2 JPH1 GDAP1 LRSAM1 HSPB1 DNAJB2 GARS1 MPZ MFN2 NEFL KIF1B AARS1 DYNC1H1 RAB7A BSCL2 ,Unresolved
5.53919,8.083047,Cluster 4,"human immunodeficiency virus type 1, susceptibility to",IL4R IL10 CCL3L1 CCL11 CX3CR1 HLA-C KIR3DL1 CXCL12 CXCR1 CD209 IFNG CCL3 CCL2 TLR3 ,Unresolved
5.339856,6.7566404,Cluster 4,beckwith-wiedemann syndrome,CDKN1C KCNQ1 KCNQ1OT1 IGF2 H19-ICR H19 ,Unresolved
5.327212,8.033674,Cluster 4,"asthma, susceptibility to",CCL11 IL13 ALOX5 SCGB3A2 TNF ADRB2 PLA2G7 HLA-G HNMT MUC7 ,Unresolved
5.4909954,7.5302615,Cluster 4,neuronal ceroid lipofuscinosis,CLN5 CLN3 MFSD8 DNAJC5 PPT1 TPP1 CLN8 CTSD CLN6 ,Unresolved
6.186241,8.154735,Cluster 4,lung cancer,PRKN BRAF FASLG EGFR IRF1 CASP8 CYP2A6 PIK3CA SLC22A18 PPP2R1B ERBB2 ERCC6 KRAS MAP3K8 ,Unresolved
5.8789387,8.077482,Cluster 4,rheumatoid arthritis,SLC22A4 IL10 NFKBIL1 PADI4 PTPN22 CIITA CD244 ,Unresolved
5.9593554,8.213918,Cluster 4,neoplasm of stomach,IRF1 KLF6 APC PIK3CA CASP10 ERBB2 MUTYH FGFR2 ,Unresolved
5.888091,7.202373,Cluster 4,familial erythrocytosis,EGLN1 EPAS1 VHL EPOR SH2B3 JAK2 ,Unresolved
5.632238,7.3970757,Cluster 4,pheochromocytoma,RET MAX TMEM127 GDNF VHL SDHD KIF1B SDHB ,Unresolved
5.4496756,6.9663253,Cluster 4,alzheimer's disease,APP NOS3 ABCA7 HFE APOE MPO PSEN1 PLAU PSEN2 A2M ,Unresolved
5.5015635,7.3775935,Cluster 4,ashkenazi jewish disorders,TGFB1 FCGR2A BLM GBA HEXA SMPD1 ELP1 FANCC ASPA CFTR MCOLN1 ,Unresolved
6.4485016,7.5658135,Cluster 4,aplastic anemia,TERT IFNG NBN PRF1 SBDS ,Unresolved
5.65381,7.1099477,Cluster 4,hermansky-pudlak syndrome,BLOC1S6 HPS1 HPS3 BLOC1S3 HPS5 HPS4 AP3D1 DTNBP1 AP3B1 HPS6 ,Unresolved
5.9834127,7.897602,Cluster 4,aicardi goutieres syndrome,RNASEH2C RNASEH2B TREX1 RNASEH2A SAMHD1 ,Unresolved
6.175763,8.1788225,Cluster 4,neoplasm of lung,PRKN BRAF FASLG EGFR IRF1 CASP8 CYP2A6 PIK3CA SLC22A18 PPP2R1B ERBB2 ERCC6 KRAS MAP3K8 ,Unresolved
6.2612123,7.9501123,Cluster 4,autoimmune lymphoproliferative syndrome,NRAS CASP8 CASP10 FAS KRAS FASLG ,Unresolved
5.611393,7.780964,Cluster 4,susceptibility to malaria,CR1 GYPB GYPA G6PD CISH GYPC HBB TIRAP SLC4A1 TNF ICAM1 FCGR2A FCGR2B ACKR1 NOS2 CD36 ,Unresolved
6.085218,7.4685526,Cluster 4,jarcho-levin syndrome,LFNG MESP2 HES7 TBX6 DLL3 ,Unresolved
5.4889903,7.913444,Cluster 4,"charcot-marie-tooth disease, type i",EGR2 MPZ NEFL PMP22 LITAF ,Unresolved
5.0415535,7.383833,Cluster 4,myocardial infarction 1,F13A1 ITGB3 MIAT ESR1 LRP8 F7 PSMA6 GCLC LGALS2 TNFSF4 LTA GCLM OLR1 ,Unresolved
5.8186913,7.8640137,Cluster 4,chronic granulomatous disease,NCF2 NCF4 CYBB CYBA NCF1 ,Unresolved
6.2433715,7.70777,Cluster 4,severe congenital neutropenia,HAX1 G6PC3 JAGN1 GFI1 VPS45 WAS ELANE ,Unresolved
6.2414308,7.8146224,Cluster 4,common variable immunodeficiency 2,CR2 TNFRSF13C TNFRSF13B CD19 ICOS ,Unresolved
5.67138,7.9491773,Cluster 4,"mycobacterium tuberculosis, susceptibility to",TLR2 SP110 IFNGR1 CISH SLC11A1 CD209 IFNG TIRAP CCL2 IRGM ,Unresolved
6.1341424,7.818597,Cluster 4,systemic lupus erythematosus,FCGR2A CR2 FCGR2B DNASE1 IRF5 STAT4 PTPN22 TREX1 CTLA4 PDCD1 TLR5 ,Unresolved
