x,y,cluster,term,genes
7.8947377,16.351276,Cluster 0,Mouse Motor Cortex-cluster-Endothelial cell,Flt1 Slco1a4 Adgrl4 Ly6c1 Slc2a1 Klf2 Mecom Bsg Ly6a Pltp
8.846585,15.852075,Cluster 0,Adipose-L2-hLEC1,MMRN1 CCL21 AL357507.1 RELN PPFIBP1 TFPI NRG3 STOX2 PKHD1L1 PROX1 CALCRL ITIH2 CFI PTPRB SPTBN1 HLF A2M VWF SERPIND1 C5 APOB PEG3 COL27A1 AGT FMO5 ITIH3 GPC3 APOH MTUS1 ACSS3 SEMA4G F5 KIF1B ARHGEF12 TF ECSCR MLLT4 ARHGAP21 BPIFB2 ADGRL4 C2 AHSG DST CLASP2 IGFBP1 CP ROCK2 KALRN C4A MMD KIAA1161 SEC23A ASGR1 SERPINF2 C2ORF72 F2 RAPGEF5 NKD1 SERPINA7 INTU CDH5 FMNL2 C3 FGL1 UGT2B10 FZD4 ZNF704 CXORF36 RPAP2 SLC13A5 MATN3 FRK EHBP1 PTPRM BMPR2 SASH1 FSIP2 NCAM1 PROS1 HGD SESTD1 SMLR1 SPTLC3 ARHGEF9 ASGR2 FAXDC2 DCLK1 FREM1 MIPOL1 ABCA6 PTPRG LAMA4 SERPINA5 WDFY3 MMRN2 NID1 KIAA1328 ANK2 PTPRD MPDZ MAP2 TIE1 TMEM181 DNM3 SERPINA11 AMBP FILIP1L GPR137C HIPK2 ACVRL1 PLD1 MAP4K4 SYT11 ROBO1 ADGRG6 DCHS1 GNG11 C4B_2 FAM228B PLCB1 KIF5C CLASP1 RALGAPA1 SDPR F11 MCFD2 DNAJC10 SH3BGRL2 C12ORF45 ADGRL3 CLEC14A ZNF471 LSAMP PLOD2 EFEMP1 ATRN DYNC1LI2 C2ORF88 ADAMTSL3 PEAR1 MYLK3 ITGB3 ABCC2 APOA2 SLC5A9 ALB NRXN1 MST1P2 C4ORF32 ROBO4 AGAP1 ATP9A NFASC HHIP DOK6 DHRS2 PROC PAH MACF1 BMP6 ACSL4 ASTN2 AKAP6 RUFY3 NDRG4 SELP IL6ST CHL1 LIFR HNF4A SERPINA1 FLRT2 KIDINS220 NEDD4 C4BPB SCN2A CFAP69 ZNF280D TUBB1 FGF13 SHROOM4 SMARCA1 ENPP1 SCD5 TTC7B FGG MAGI1 A1CF FER FNDC3B SEPP1 MBD5 APOM JAM3 C12ORF76 MFAP3L LAMB1 DOCK4 FRMD3 PLEKHA1 GRIA2 ABAT SPTAN1 BLOC1S6 CCDC122 TSPAN18 NOTUM NFAT5 FGA UNC80 RP11.1180F24.1 FARP1 SORBS2 CACNB4 TTC3 BMX BEND2 DLG2 FRAS1 ABCA8 HECW2 CTDSPL RP11.404G16.2 B4GALNT2 ASAP2 EPB41L1 EMCN C20ORF194 CSRNP3 G6PC ANK3 SGIP1 CGNL1 MCAM ITSN1 KLB TTLL7 TGFBR3 CLN5 ENC1 TIGD1 FRMD4A ABI2 LIMS1 SCN3A AKT3 LRRC32 DUSP9 CLCN3 CLSTN3
9.65291,16.682611,Cluster 0,"Mouse Motor Cortex-subclass-Layer 6 glutamatergic neuron, intratelencephalon-projecting",C1ql3 Cdh13 Il1rapl2 Zfp804b Dscaml1 Slit3 Galnt14 Nell2 Ak5 Cck
8.666115,17.527687,Cluster 0,Lung v1-L2-Lymphatic,CCL21 MMRN1 PROX1 PPFIBP1 TBX1 TFF3 PKHD1L1 IGFBP7 TIMP3 TFPI LAMA4 PTPRB VWF LRRC32 ACVRL1 EPAS1 CDC42EP5 LAMB1 EFEMP1 GNA11 PLA2G2A C1S RAMP3 CALCRL ADGRL4 PEAR1 NID1 IL6ST CRIM1 ECSCR NBL1 PARVA MMRN2 C1R KIAA1462 MYL9 CYBRD1 DEFA6 DEFA5 CDH5 CLEC14A TGFBR2 RHOC CCL15.CCL14 ROBO4 LAMB2 MYO1D HSPG2 GNG12 PDGFRB DDR2 FAM114A1 LEPROT MCAM FILIP1L CD59 FKBP9 PROS1 PMP22 ABI3BP LTBP2 FBLIM1 ITGA1 TNS2 SPARC DMBT1 CDH13 LAMC1 PTPRM EPS8 FZD4 MYLK SPINK4 KANK2 TANC1 ATP8B1 C1QTNF5 CDX1 CXORF36 CD109 SEPP1 TIE1 SASH1 FAM26E TSPAN8 DOCK6 NTN4 OLFM4 ANO6 CDHR5 CTGF STARD13 TNS1 ITGAV EPS8L3 CD9 CYP4F12 REG3A MOGAT2 GSN DAB2 BACE2 CLCA1 NR1H4 MYO1A SRPX2 CALD1 AMN CHP2 MAOA COL4A2 PHGR1 MTUS1 FAM198B SLC5A1 KLF9 LAMA2 KIF1C DLC1 PGM5 SH3D19 RRBP1 RRAS MISP SYNPO TSPAN9 THBS1 CCL25 SEC16B PRR15L LMO7 SMOC2 CFH TMEM253 SLC39A5 ESAM HYAL2 SERPINB6 ABLIM3 TAX1BP3 EFEMP2 BGN CDX2 PXDC1 SVIL FAM3D SPTBN1 EHD2 SMTN HEG1 MALL PRAP1 CLRN3 H6PD GNG11 C1ORF115 ADCY6 MYO1C CDHR2 CDH19 FNDC3B CYB5R3 BTNL3 ADGRF5 UACA CCL11 ALDOB TGFB1I1 ST5 ITPRIPL2 ITGB1 RCAN1 ARHGEF12 CDH11 ACE ECE1 CES2 TEK PALMD AOC1 TAGLN EDN1 BMP6 SRPX PDLIM1 MUC13 RHOJ CD151 NEURL1B SELM CAPN5 CTNND1 ABCA6 CAV1 CAST LGALS4 ARHGAP29 IGHA2 RP11.903H12.5 ENTPD8 FN1 ENG IL13RA1 ENPEP SERPING1 PLOD2 ITLN2 EMILIN1 PLD1 EMCN LPP FSTL1 SLC44A4 P4HA2 ABO GUCA2A MUC3A STOM FBN1 CYGB ST6GALNAC1 IL33 PECAM1 ITGB3 MEP1A LIMS1 RBMS2 LTBP1 RPS6KA2 CARD10 C2ORF88 BMX SNTB2 PDLIM5 COL8A1 CCDC68 SDPR PDZD3 VIL1 MXRA7 ANPEP PTRF GGT5 FOXC2 KIF13A MCFD2 OAF ARHGAP18 AKAP2 MYH14
9.63345,16.36235,Cluster 0,"Mouse Motor Cortex-subclass-Layer 5 glutamatergic neuron, intratelencephalon-projecting",Car10 Ncam2 Galntl6 Cdh12 Hs3st4 Gpc6 Unc5d Tenm4 Ptprd Hs6st3
7.9292293,16.505222,Cluster 0,Mouse Motor Cortex-subclass-Endothelial cell,Flt1 Slco1a4 Adgrl4 Ly6c1 Slc2a1 Klf2 Mecom Bsg Ly6a Pltp
9.841164,16.251581,Cluster 0,Mouse Motor Cortex-subclass-Astrocyte,Gpc5 Slc1a2 Slc1a3 Apoe Wdr17 Plpp3 Rorb Rmst Slc4a4 Htra1
8.99019,18.250021,Cluster 0,Mouse Motor Cortex-class-GABAergic neuron,Grip1 Galntl6 Gad1 Gad2 Dlx6os1 Cntnap2 Gm26905 Kcnmb2 Kcnip1 Erbb4
8.291968,17.503304,Cluster 0,Mouse Motor Cortex-class-Non-neuronal cell,Zbtb20 Qk Cst3 Nfia Apoe Ptn Maml2 Dock1 Cd81 Gab1
9.452293,18.019588,Cluster 0,Mouse Motor Cortex-class-Glutamatergic neuron,Celf2 Ptprd Arpp21 Sv2b Pcsk2 Phactr1 Kalrn Nrg1 Ano3 Satb2
9.412821,17.761284,Cluster 0,Motor Cortex-cross-species cluster-Vip+ GABAergic neuron_3,SMOC1 TMEM132D SLC22A3 EGFEM1P CHRNA2 FRAS1 TAC3 SLIT2 PPP1R1C VIP PROX1 UNC79 C14ORF132 IL17RD CTNND2 FZD3 MPDZ MYH10 CHD7 ARHGEF9 BGLAP TUSC3 ZNF462 UNC13A ZNF579 CUX2 SRGAP3 CDH2 SYT11 COL4A5 LSAMP MAGI1 CACNG7 WASF3 LRRN1 MLLT4 TENM3 MYO6 SCD5 SLC22A17 PRKCG ABAT B3GAT1 DCLK1 MDK SCAMP5 CLIP3 BMPR1A LARGE1 SALL2 SEZ6L2 NIPSNAP1 KIF1A ABI2 DOPEY1 KIF1B PFN2 KALRN CACNA1B TMEM178B MAGED4B NAV1 CPE FAM19A5 ACSS3 ADGRL3 RND2 SHC2 UNCX ADCY2 SEMA6A ANKS1B NINL MAP2 CECR2 ZNF532 GPC3 BEX3 WNK2 PTPRS EFS NAV2 SNRPN TENM4 BEX1 VANGL2 NLGN2 MAP6 PNMAL1 ATCAY MAPK10 ARNT2 CAMK2N1 ZKSCAN1 SMARCA1 SEPT3 LRP6 PRR36 RSF1 RGMA RCOR2 FXYD6 NREP TYRO3 PLEKHG4B ARHGEF4 ROBO1 NRCAM ZFHX4 ADGRL2 PARM1 SPAG11B PLEKHA5 SOX1 GPRIN2 TET1 RCN2 HACD3 DCLK2 KIAA1841 FNBP1L ALDH7A1 SLC13A5 HLF CNTNAP2 ZNF423 PTPRD KIF21A RIMS3 UNC80 ZNF618 GPT2 PTPRG DPYSL4 DLGAP1 HIPK2 FIGN SALL3 COL4A6 CADPS PNMA2 CACHD1 MORN4 PTPRN2 OR7E7P RFX3 AGPAT4 HSD17B4 PCDHB16 PPM1L APC2 GNAZ KIF3C TUB GABRB3 KIAA1549 NEO1 PPP1R9A PEG3 CDH20 TSPAN7 AGAP1 GPC6 CAMTA1 SGCB PLCH1 KCNQ2 FAT3 KCNT2 SOX8 TMEM98 DTNA LRIG1 NPTXR STOX2 MEIS3 BRSK2 GTF2IP1 CTXN1 AGT CREG2 TTC3 PCDHA10 MYEF2 TJP1 SLIT1 SDK2 LRP4 FBN3 ARFGEF3 COL27A1 CELF3 FAM181B MAGED1 DOCK3 RUFY3 AP3B2 CAMKV OLFM2 NGRN EHBP1 ADCYAP1R1 KIF5C DLK1 B4GAT1 IGDCC3 C2ORF72 ANK2 ADGRB2 TMEM260 CNTN1 SP8 SPTBN2 SYP HRH3 OBSL1 FLRT3 MAPK8IP1 NKD1 SORCS3 BSN WBSCR17 DGKB OR6E1P ZNF292 ACSL3 CSPG5 OTX2 SPP2 FAM169A H2AFY2 FEZ1 RELN ASIC1 TRIM24 GALNT16 SEZ6L SCG3 NKAIN4 NBEA TSPAN6 NMNAT2 UNC13B SOX2 RTKN FREM1 MEGF8 RNFT2 PHYHIPL GULP1
8.840959,18.271618,Cluster 0,"Mouse Motor Cortex-subclass-Layer 6 Car3+ glutamatergic neuron, intratelencephalon-projecting",Tfap2d Oprk1 Smoc2 Car12 Nr4a2 Lxn Gm32647 Col11a1 Sstr2 6530403H02Rik
8.877939,16.283602,Cluster 0,Adipose-L2-hcDC1,WDFY4 CLNK CCSER1 AC099560.1 HDAC9 CPVL CADM1 HLA-DPB1 AC060234.3 AC016205.1 HLA.DPA1 MARCH1 FGD2 NAPSB HLA.DQA1 CARS2 HLA.DMB HLA.DPB1 HLA.DRA DNASE1L3 AC097523.3 CD180 C1ORF162 CECR1 CD86 HLA.DQA2 CIITA SH2D3A NCKAP1L MLLT11 ITGAM CLEC9A IGSF6 LY86 FCRL2 PTPRE CLEC7A FCRL5 RUFY3 LIPA NAIP HLA.DQB1 DOCK2 CSF1R FAM129C PTPRO ELAVL4 SYK CLEC10A FCGR2C CD209 ZFHX4 FGL2 CCL17 KCNA6 SCIMP PIK3AP1 TUBA1A CLEC4A MARCH6 CLASP2 STX7 DPYSL2 ZNF292 ZNF382 WSB1 AIF1 FCGR2B NREP CSRNP3 PAX5 ZNF670.ZNF695 CD1C HLA.DRB1 ITGAX CYB5R4 ADORA3 CEP170 GNG2 SAMHD1 ASB3 SIGLEC10 ADCY7 EMILIN2 JAKMIP2 SLC24A4 STMN1 VPS13C MPEG1 MAP2 ANKRD44 AOAH CELF2 IRF5 CD84 SNX29 LILRB1 MS4A6A CRMP1 ZNF527 RUFY4 FCRL1 NRXN1 XCR1 GSTA4 DCC CLEC17A SOX11 MBD5 TIGD1 CLK1 RTN1 RBM5 RFPL4A MRC1 FCER1G ELAVL2 ZEB2 HTN1 PLCB2 SH3BP2 CTSS UVRAG FGD4 FAM13C ZBTB8B ENTPD1 ORC4 GRK3 KMT2E APOL4 CCDC90B SPATA6L CCR1 IRF8 LAPTM5 MDM4 ZDHHC15 ADGRE4P MCOLN2 FNBP1L PCDHA4 ZNF91 SSBP2 AL023806.1 CD1A RP11.198M15.1 TNFSF13B C1ORF54 KIDINS220 ATL1 PPIP5K2 ZNF737 SIGLEC9 CXADR CYBB OLA1P3 EPC1 TET2 BLK HVCN1 ASPA ZNF141 TBXAS1 FNIP2 DOCK8 FAM49B MS4A7 SENP7 TLR10 PLXDC2 RNASE6 CD200 BTLA CD1B N4BP2L2 AMN1 AFF3 RASA4 KIAA0226L AC008072.1 SLC15A3 ZNF708 KIAA1107 ATF7IP NUGGC CSF2RA RNF130 ADAP2 LRMP NLRC4 HCK ZNF366 FSIP2 RPAP2 LILRA2 LY75.CD302 IL10RA WDR17 ANKRD36 CLECL1 SCN3A MILR1 C9ORF72 RFPL4AL1 SERINC1 MYT1L KLF7 LYN OSCAR TEX9 TUBB2B ZNF674 FAM49A BTN3A2 C12ORF76 CD74 KCNJ5 LILRB4 LCOR NCF2 CYTH4 TUBB3 CFAP69 C18ORF32 CREBRF TMEM150B ZNF280D RP11.497H16.7 FGF13 HACD4 GSAP IFNGR1 AGO3 KIFAP3 EYS ZNF471 ANKRD12 EIF1B C4ORF36 PGAP1 PIK3CG FAM105A CYSLTR1 SLC7A7 KLHL7 CLEC12A HLA.DOA INA NPL
7.952258,15.809128,Cluster 0,Adipose-L2-hASPC6,TNC AC005699.1 LINC02360 C7 GLI3 ROR1 FAM155A ARHGAP28 ZFPM2 MEIS1 INTU RP11.292B8.2 WTIP PTPRG FLRT2 FAT4 CFAP69 ZNF471 FGF13 COLEC12 MCF2L2 ASPA FBXL7 ZBTB20 CDH11 CCDC122 HTN1 ABCA9 WIPF3 FOXG1 OLA1P3 NXNL2 TIGD1 ASB3 SLC2A4 ENAH KCNV1 RPAP2 ZBTB8B PCDHA4 ZNF667 ZNF280D MEIS2 DCHS1 CDH2 ZNF793 ADGRL2 CCDC169 TTC7B FRK FAM228B CTSLP2 ADAMTSL3 PLA2R1 RILPL1 BMPR2 GPR137C TMEM106B CDON SBF2 SPATA6L ZSCAN30 MAGI2 FBXO15 NREP C12ORF50 GALNT16 PLEKHA5 FZD3 MBD5 C12ORF45 KCNJ5 KLF8 SHISA9 TMEM212 MIPOL1 ODF2L CYP11B1 PDGFRA PEAK1 ZFHX4 AC008072.1 BOC KCNE4 MPDZ AP002962.1 SEPT11 ERVW.1 UGGT2 GSTO2 C2ORF91 PTGIS CCDC30 ZNF670.ZNF695 PTPN13 SRD5A1 ABCA8 RASAL2 PDZRN3 SMAD2 ARHGEF9 CLN5 ADAMTS9 MYLK3 VSTM4 LIFR DENND2A DDR2 KIAA1328 TENM4 ZNF382 STARD9 PTPRD ZNF532 MYLK INMT ZNF462 TMEM47 DNM1P51 BMPR1A NYNRIN SRGAP2B KATNAL1 LRP6 CYB5RL SBSPON KIAA1462 C4ORF36 CCDC90B ZNF519 PDZD7 CACNA1C FSIP2 COL6A3 RBFOX2 ZNF521 LHFPL5 LPP DYNAP LAMA2 NOG FTO ZNF37A SRGAP3 ZDHHC15 ABCC9 AL023806.1 LA16C.431H6.6 UNC80 C5ORF42 RBMS3 LDHAL6CP ZNF445 NAV1 TCTN1 CACNA1D TEX9 RP11.307A17.2 REXO1L1P ZBTB8A ACOT11 CDKL5 RNFT2 C4ORF32 FER GTF2IP13 PRDM5 HNRNPA1P54 FAM133A TMEM182 RNF150 PXYLP1 LAMA4 MYH10 HSD3B2 RYR3 KCNK3 PLEKHA3 ARL10 EFNB2 DST SPARC RP11.455G16.1 ZNF470 MMS22L RP5.1000K24.2 TULP4 MPPED2 KANK2 TPH2 TRAPPC3L CBX5 FSTL1 CNTNAP3B SGCB TMC2 CCDC8 FOXL2NB TCF23 COL3A1 EML1 GAS1 AS3MT MAP1B SDK2 FAM26E ANK3 EFCAB3 C15ORF41 VANGL2 MAGED2 RP11.484L7.2 PKD1L2 TTC34 ABI2 CNTLN TTC3 LTBP1 POU3F3 INPP5F COL4A5 XRCC2 PGM5 TENM3 AGO3 UTS2B ZNF423 NEO1 GNRHR2 ANTXR1 DIP2C TFPI EFCAB6 RNF152 PAAF1 TTPAL AKT3 PCDHGA8 CACHD1 FGFR1 SAG SCD5 EPPIN PKD2 IL17RD SLIT3 PTBP2 CHD9 MARCH6 CDH7
8.461855,16.07267,Cluster 0,Adipose-L2-hASPC3,CXCL14 C7 ABCA10 ABCA9 NEGR1 ABCA9-AS1 APOD ABCA6 LAMA2 CXCL12 ABCA8 ECM2 GGT5 GALNT15 TNS1 C1S SORBS1 TNXB FMO2 CYBRD1 ADH1B KANK2 SCARA5 C1R PGM5 LAMA4 PDE4DIP TNS2 GSN WTIP KLF9 RBMS3 PDGFRB MYLK3 PRELP DDR2 CILP THBS4 FRK FHL5 ADGRD1 SMOC2 ACACB TMEM182 CFAP69 FMOD PHLDB1 SLC16A7 CCDC122 FBXO15 INTU ACOT11 PPP1R12B FAM228B ASPA COL15A1 SASH1 HNRNPA1P54 GHR ISLR TACC2 ADAMTSL3 C12ORF45 TTC7B ITIH5 KIAA1161 ERVW.1 C4ORF32 SYNPO DPT HSPB6 CLN5 CFH PRRX1 PODN RPAP2 CLIP1 FHL1 PLA2R1 IGF1 ANGPTL2 KIAA1328 C12ORF50 KIAA1462 SVEP1 AQP7 ALDH2 DMD CACNA1C HTN1 AC013461.1 LPP B4GALNT2 MYOM2 CCDC125 C1QTNF1 H6PD ABCC9 PEAK1 MYOM3 DCN PLAC9 ZNF471 KCNE4 SVIL FAM26E MYOM1 CMYA5 CYP3A5 MFAP5 SNED1 ZBTB20 ATP10B EPAS1 FBLN2 ANGPTL7 PTPRB TMEM212 KCNV1 AL023806.1 SPTLC3 RILPL1 PALMD ABI3BP CHRDL1 TMTC1 ASB3 VSTM4 CRISPLD2 MCF2L2 CASQ2 PTPRM ADAM32 CFD CCDC80 LRRC32 IGFBP7 COL14A1 TIGD1 AOX1 CH17.472G23.4 FAM198B ZCCHC24 MIPOL1 SLIT3 LRRC2 SERPING1 APOL4 SRPX C10ORF10 AQP1 CCDC169 SPATA6L C12ORF65 SYNM ZNF280D LDB3 TCAF2 FZD4 STARD9 MYZAP LIMS2 ODF2L ROCK1P1 ITGA1 AC008072.1 SULT1B1 SAMD4A TGFBR3 INMT ZNF670.ZNF695 PPARA COL3A1 VIT SSPN ZNF37A MYOZ2 ARHGAP28 ARHGEF12 F8 BMPR2 NPY6R GNRHR2 SZT2 CLIC5 DUSP27 RAMP3 OGN LYVE1 CORIN MLIP C9ORF3 CDKL5 RNF150 NXNL2 FAM179A FCRL5 NID1 ITGA10 SIK2 PLPP3 USP53 PTGIS REV3L LMCD1 ADCY4 C2ORF91 SYNE1 RYR2 FBN1 LRP1 FBXO40 SPTBN1 ECHDC2 PPFIBP1 MAOB TMEM45A HSPB7 IL1R1 RNF152 LAMB2 AKR1B15 SORBS2 CCDC30 FGF7 PDZRN3 MTUS1 LMOD3 SRD5A1 IGFL4 MYL3 OBSCN PDLIM3 DES ITGA7 ATP9B PDK4 PALM2.AKAP2 TTC28 LEPR TSHZ2 ZSCAN30 PDZD2 DST ANGPTL1 HOOK3 PKD1L2 CKMT2 COL16A1 LMOD2
8.349076,17.809717,Cluster 0,Mouse Motor Cortex-cluster-Pvalb+ Egfem1+ GABAergic neuron,Nos1 Atp13a5 9330158H04Rik Vtn Sorcs3 Cald1 Ebf1 Ptprk Pvalb Egfem1
7.5210676,16.009058,Cluster 0,Mouse Motor Cortex-cluster-Pvalb+ Calb1+ GABAergic neuron_2,Lhfpl3 Tac1 Cntnap5c Vcan Tnr Grm7 Ptprz1 Rbp4 Pvalb Calb1
9.325261,17.473543,Cluster 0,Mouse Motor Cortex-cluster-Pvalb+ Calb1+ GABAergic neuron_1,Plp1 Spp1 Trpc6 Mbp St18 Gm32647 Npy Prr5l Pvalb Calb1
