x,y,Name,Genes,Label,Color
9.953197,3.476707,ascending vasa recta endothelial cell (id:49),ADCY4 ARHGEF15 C1QA C1QB C1QC CCL14 CCL19 CCL21 CD163 CD209 CD34 CD36 CD93 CLEC10A CLEC14A CLEC1A CMKLR1 CPA3 CSF1R CSF2RB CXCL9 DNASE1L3 EMCN F13A1 FCGR2B FCGR3A FGD2 FGL2 FOLR2 FPR3 GIMAP4 GIMAP5 GIMAP6 GIMAP7 GIMAP8 GJA4 HLA-DPA1 HLA-DPB1 HLA-DRA IGHA1 IGHA2 IGHG1 IGHG2 IGHG3 IGHG4 IGHM IGHV1-18 IGHV3-15 IGHV3-21 IGHV3-23 IGHV3-33 IGHV3-7 IGHV5-51 IGKC IGKV1-5 IGKV1D-39 IGKV3-11 IGKV3-15 IGKV3-20 IGKV4-1 IGLC1 IGLC2 IGLC3 IGLL5 IGLV1-40 IGLV1-44 IGLV1-47 IGLV2-11 IGLV2-8 IGLV3-1 IGLV3-19 IGLV3-21 JCHAIN LILRB2 LILRB5 LYVE1 MMRN1 MPEG1 MRC1 MS4A4A MS4A6A MS4A7 MYH11 NOTCH4 PECAM1 PLVAP RAMP3 RNASE6 SCARF1 SELP SHE SIGLEC1 STAB1 TMEM176A TMEM176B TNFSF10 TPSAB1 TYROBP VSIG4 VWF,Other,-1
2.902066,6.758069,astro l1 fgfr3 serpini2 (id:50),AK9 AKAP14 ANKFN1 ANKRD66 APOBEC4 ARMC3 BPIFA1 C11orf97 C1orf194 C1orf87 C20orf85 C2orf73 C5orf49 C6orf118 CAPS2 CAPSL CCDC173 CCDC30 CCDC60 CFAP100 CFAP126 CFAP206 CFAP221 CFAP43 CFAP47 CFAP52 CFAP65 CFAP70 DCDC1 DNAH10 DNAH11 DNAH12 DNAH6 DNAH7 DNAH9 DNAI1 DRC1 DRC7 DYDC2 ECT2L EFCAB6 EFHC1 ENKUR ERICH3 FAM216B FAM81B FMO6P FRMPD2 GRM7 HYDIN IQCG IQUB KIF27 LRGUK LRRIQ1 MAP3K19 MDH1B MORN5 MROH9 NEK5 NWD1 OMG PACRG PPIL6 PPP1R42 PTPRT RFX3 RGS22 RSPH1 RSPH4A SERPINI2 SLC15A2 SLC9C2 SNTN SPAG17 SPAG6 SPATA17 SPEF2 SRGAP3 STK33 STOML3 TCP11X2 TEKT1 TEKT2 TEX26 TEX9 TMEM232 TSPAN19 TTC29 TTLL9 VWA3A VWA3B WDR38 WDR49 WFDC6,Other,-1
4.8758907,0.3206436,astro l1-6 fgfr3 aqp1 (id:51),ADAMTS12 ADAMTSL1 AMOTL2 ANGPTL2 ANTXR1 ARSJ AXL BICC1 BOC CALD1 CCDC80 CDH11 CHST3 CLMP CNN3 COL12A1 COL16A1 COL1A1 COL1A2 COL3A1 COL4A1 COL4A2 COL5A1 COL5A2 COL6A1 CSPG4 DDR2 DKK3 DPYSL3 EDIL3 EDNRA EGFR FAM114A1 FAP FAT1 FBN1 FBXL7 FIBIN FKBP9 FN1 FRMD6 FSTL1 GJA1 GLI2 GLI3 GNG12 GPX8 HAS2 HTRA1 IGFBP5 LAMA4 LAMB1 LOX LUM MMP14 MMP2 MXRA5 NAV1 NAV2 NRP2 OSMR PALLD PAMR1 PARVA PCDH18 PCDHGC3 PDGFRA PDLIM4 PHLDB1 PLAT POSTN PRICKLE2 PRRX1 PTN PTPN21 RAI14 RND3 SFRP1 SLIT2 SNAI2 SRPX SRPX2 SYDE1 TEAD1 THBS2 THY1 TIMP3 TMEM47 TNC VEGFC WNT5A WWTR1,Other,-1
4.410204,1.9354354,astro l1-6 fgfr3 plcg1 (id:52),A2M ABCA8 ACTA2 ADAM33 ADAMTS2 ADAMTS5 ADGRL4 AEBP1 ANGPTL2 AQP1 BGN C1QTNF5 C1R C1S CACNA1C CD248 CDH11 CLEC3B COL15A1 COL16A1 COL1A2 COL3A1 COL5A3 COL6A1 COL6A2 COL6A3 COPZ2 COX7A1 CRYAB CSPG4 CXCL12 CYGB DAAM2 DCN DDR2 DKK3 DPT EFEMP2 ELN EMILIN1 ENPP2 FAP FBLN2 FBLN5 FIBIN FMOD FNDC1 FXYD1 GALNT15 GPR17 HSPB2 HSPB6 HTRA1 IL34 ISLR KIAA1755 LAMA2 LCNL1 LDB2 LGI4 LIMS2 LMOD1 LOC105376917 LRP1 LRRC32 LUM LYNX1 MEDAG MRGPRF MXRA5 NTM OLFM2 OLFML2B PAMR1 PDGFRA PDGFRB PID1 PLAC9 PODN POSTN PRRX1 PTGDS RASL12 RCAN2 SEMA5A SERPING1 SGCD SH3PXD2A SPARC SPARCL1 SSC5D SYNPO SYNPO2 TAGLN TEK THBS2 THY1 TIMP3 TNS1,Other,-1
4.795134,5.1508207,at1 (id:53),ADCY6 AGER AMOTL2 ANO1 ANTXR1 AQP4 ARHGAP29 ARHGEF17 BCAM BCAR1 BOK CAP2 CARD10 CAV1 CAV2 CDC42EP1 CHST3 CLDN1 COL12A1 COL16A1 COL4A5 CTTN DAB2IP DDAH1 DDR1 DSP EFEMP1 EGFR EHD2 EMP2 EPAS1 EPHA2 ERBB2 ERRFI1 FKBP9 GNG12 GPC1 GPR39 HSPB8 IGFBP3 ITGA3 ITGB4 KIAA1217 KRT7 KRT80 LAMA3 LAMA5 LAMB1 LAMB2 LAMC2 LRIG3 LURAP1L MET MYO1B NAV2 NCKAP1 NFIB NR2F2 NTN4 NUAK1 OSMR PACSIN3 PARVA PERP PLS3 PPIC PPL PPP1R3C PTPN21 PTPRF PTPRK PTPRU RHBDF1 RHOD RND3 S100A13 S100A16 SCARA3 SDC1 SDC4 SEMA3F SERTAD4 SH3BP4 SH3D19 SHROOM3 SNX7 SOX9 SRPX2 SYDE1 TEAD1 TEAD3 THSD4 TJP1 TM4SF1 TMEM54 TNS2 TPBG WWTR1,Other,-1
5.745094,4.141265,at2 (id:54),ABCA2 ABCA3 ABCC8 ACTL6B ADGRA1 APLP1 AQP4 ARFGEF3 BRINP3 C5orf49 CACNA2D2 CACNG4 CASKIN1 CELSR2 CHRM1 CKB COBL CPE CPLX1 CRTAC1 CSPG5 CTNND2 EPB41L1 FAIM2 FAM189A2 GABRD GGTLC1 GRIA2 GRIK3 GRIN1 HAPLN2 HID1 HMGCLL1 HPCA INPP5J JAG2 JAKMIP3 KCNQ2 KIF1A LGI3 LIMCH1 LMO3 LONRF2 MAP2 MAPK4 MAPK8IP1 MAPK8IP2 MAPT MCF2L NCAM2 NEBL NKX2-1 NTSR2 OLFM1 PCDHB4 PCLO PCP4 PDIA2 PEBP4 PGC PLXNB3 PPFIA2 PPFIA3 PPP1R1B PRR36 PTPRT RAB6B RAP1GAP RGS11 RIMKLA RIMS4 SCRT1 SEZ6L2 SFTA2 SFTA3 SFTPA1 SFTPA2 SFTPC SFTPD SH3GL2 SHC2 SNAP91 SPARCL1 SPTBN4 SRCIN1 STXBP1 SYBU SYT4 SYT7 TMEM125 TMEM151A TMEM179 TMEM59L TPPP TTBK1 USP54 VSTM2L VWA5B2 WIF1,Other,-1
9.9072485,1.8873637,b cell (id:57),ARHGAP30 ARHGAP9 BANK1 BLK BTK BTLA CD180 CD19 CD1C CD22 CD37 CD48 CD52 CD53 CD79A CD79B CD86 CLEC17A CYTIP FCER2 FCMR FCRL1 FCRL2 FCRL3 FGD2 FGR GAPT IGHA1 IGHA2 IGHD IGHG1 IGHG2 IGHG3 IGHM IGHV1-69-2 IGHV3-21 IGHV3-23 IGHV3-33 IGHV3-7 IGHV4-34 IGHV4-59 IGHV5-51 IGHV5-78 IGKC IGKV1-5 IGKV2-30 IGKV3-11 IGKV3-15 IGKV3-20 IGKV4-1 IGLC1 IGLC2 IGLC3 IGLL5 IGLV1-40 IGLV1-44 IGLV1-47 IGLV2-11 IGLV2-14 IGLV2-8 IGLV3-1 IGLV3-19 IGLV3-21 IGLV6-57 IL2RG ITGAL JCHAIN LILRA4 LILRB1 LILRB2 LTB LY86 MNDA MS4A1 NAPSB NCF1 NCF1B NCF1C NCF4 P2RY10 PAX5 PLEK PNOC PTPRCAP RASAL3 SASH3 SELL SIT1 SLAMF1 SLAMF6 SP140 STAP1 TAGAP TCL1A TLR10 TNFRSF17 TRAF3IP3 VNN2 WAS,B-cells,5
4.579637,6.131481,basal (id:60),ABCA12 ADGRF4 ALDH3B2 ANO1 ANXA8 ANXA8L1 CALML3 CALML5 CD164L2 CDH3 CERS3 CLCA2 COL17A1 CRCT1 CWH43 DSC3 DSG1 DSG3 DUOX1 DUOXA1 FAT2 FGFBP1 FOXN1 FXYD3 GJB3 GJB4 GJB5 GPR87 GRHL3 GSDMC HS3ST6 IGFL1 IL20RB IRF6 ITGB4 ITGB6 IVL KLK5 KLK8 KLK9 KRT13 KRT14 KRT15 KRT16 KRT16P3 KRT16P4 KRT16P6 KRT17 KRT4 KRT5 KRT6A KRT6B KRT6C KRT78 KRTDAP LAMC2 LCE1C LCE3D LGALS7 LGALS7B LIPK LY6D NGFR NTF4 PGLYRP3 PGLYRP4 PKP1 PNLIPRP3 RNASE7 RPTN S100A14 S100A2 S100A7 SCEL SCNN1B SDR16C5 SERPINB12 SERPINB13 SERPINB3 SERPINB4 SERPINB5 SFN SLC10A6 SPINK5 SPRR1A SPRR1B SPRR2A SPRR2D SPRR2E SPRR3 SPRR4 SYT8 TACSTD2 TNS4 TP53AIP1 TP63 TRIM29 WFDC5,Other,-1
4.448166,6.2384915,basal cells of terminal ciliated ducts of submucosal glands (id:65),ABCA12 ADGRF4 AHNAK2 ALDH1A3 ALDH3A1 ALDH3B2 ANXA8 ANXA8L1 BNC1 CALML3 CALML5 CDH3 CDSN CLCA2 CLDN1 COL17A1 CRCT1 CTNNB1 DSC3 DSG3 DSP DUOXA1 EGFR FAM83B FAT2 FGFBP1 FOXC1 FOXN1 GJB3 GJB4 GJB5 GPR87 GRHL3 GSDMC IGFL1 IL20RB ITGB4 ITGB6 IVL KLF5 KLK5 KLK8 KRT13 KRT14 KRT15 KRT16 KRT16P3 KRT16P6 KRT17 KRT4 KRT5 KRT6A KRT6B KRT6C KRT75 KRT78 KRTDAP LAMA3 LAMB3 LAMC2 LGALS7 LGALS7B LIPK LY6D NECTIN4 NTF4 PERP PGLYRP3 PKP1 PKP3 PNLIPRP3 PTHLH RAET1L RNASE7 S100A14 S100A2 S100A7 SBSN SCEL SDC1 SDR16C5 SEMA3F SERPINB13 SERPINB3 SERPINB4 SERPINB5 SERPINB7 SFN SNAI2 SPRR1A SPRR1B SPRR2A SPRR2D SPRR2E SYT8 TACSTD2 TFAP2A TNS4 TP63 TRIM29 WFDC5,Other,-1
8.227643,5.678079,basophil (id:66),ADGRE3 ADGRG3 AIF1 APOBR BIN2 BTK C11orf21 C16orf54 CCR2 CD244 CD300A CD300LB CD300LF CD33 CEACAM3 CEACAM4 CEBPE CFP CLC CLEC12A CLEC12B CLEC4D CLEC7A CPA3 CR1 CSF2RB CSF3R CST7 CTSW CXCR1 CXCR2 DEFA1 DEFA3 DOK2 DPEP2 FCER1A FCER1G FCGR2A FCGR3B FCN1 FFAR2 FGR FPR1 FPR2 GAPT GATA1 GATA2 GMFG GP9 HCK HDC HK3 IGSF6 IL18RAP IL3RA IL5RA ITGAX JAML LILRA1 LILRA2 LILRA5 LILRB2 LRRC25 LST1 LYL1 LYZ MCEMP1 MEFV MNDA MPEG1 MPO MS4A2 MS4A3 MS4A6A MYO1F NCF1 NCF4 NFAM1 NFE2 NKG7 P2RX1 P2RY13 PADI4 PECAM1 PLEK PRAM1 PROK2 RAB44 RASGRP4 RGS18 RNASE2 RNASE3 S100A12 SELP SIGLEC5 SIGLEC7 SIGLEC9 SIRPB2 SNX20 SPI1 TLR8 TRGC2 TSPAN32,White Blood Cells,7
4.3351398,2.997438,blood endothelial cell (id:68),A2M ABCA8 ACKR1 ACVRL1 ADGRF5 ADGRL4 ANGPTL2 ANO1 APLNR APOD AQP1 ARHGEF15 ARHGEF37 BCAM BGN C1QB C1QC C1QTNF5 C1R C1S C7 CCL14 CCL21 CD34 CDH5 CLEC14A CLEC3B COL16A1 COL3A1 COX4I2 COX7A1 CRYAB CX3CL1 CXCL12 CYYR1 DCN DLL4 DPT ECSCR EDNRB EPAS1 FGD5 FHL5 FMO2 FMOD FRZB GJA4 GJA5 GPIHBP1 GPX3 GSN HTRA1 IFI27 IGFBP5 IL33 IL34 ISLR KDR LDB2 LMOD1 LUM LYVE1 MAOA MAOB MGP MMRN2 MXRA5 NPDC1 PALMD PLPP3 PLSCR4 PLVAP PODN POSTN PTPRB RAI2 RAMP2 RAMP3 RARRES2 RASL12 REM1 RGS5 RNASE1 ROBO4 SELE SERPING1 SHC2 SLCO2A1 SMOC2 SOD3 SOX17 SPARCL1 SYNPO TDRD10 TEK TIMP3 TM4SF1 TM4SF18 TNS1 TNS2 VCAM1,Other,-1
9.7118225,3.780331,blood vessel endothelial cell (id:71),ADCY4 AIF1 APOL3 ARHGEF15 C1QA C1QB C1QC C3AR1 CAV1 CCL14 CD14 CD163 CD209 CD300LG CD34 CD74 CD86 CD93 CIITA CLEC10A CLEC14A CLEC1A CMKLR1 CSF1R CSF2RB CTSS CXCL9 CYBB EMCN ESAM F13A1 FCER1G FCGR2B FCGR2C FCGR3A FGD2 FGL2 FGR FOLR2 FPR3 GIMAP1 GIMAP4 GIMAP5 GIMAP6 GIMAP7 GIMAP8 GJA4 GPR34 HAVCR2 HCK HLA-DMA HLA-DMB HLA-DPA1 HLA-DPB1 HLA-DQB1 HLA-DRA HLA-DRB1 HLA-DRB3 ICAM1 IGHA1 IGHG1 IGHG2 IGKC IGLC2 IL10RA JAM2 LAPTM5 LCP2 LGALS9 LILRB2 LILRB4 LILRB5 LY86 LYVE1 MARCO MNDA MPEG1 MRC1 MS4A14 MS4A4A MS4A6A MS4A7 MSR1 MYH11 NOTCH4 PECAM1 PLEK PLVAP RAMP3 RNASE1 RNASE6 SCARF1 SELP SHE SIGLEC1 SPARCL1 SPI1 STAB1 TFEC TIE1 TMEM176A TMEM176B TYROBP VSIG4 VWF WDFY4,Other,-1
2.5005178,6.242225,bronchial ciliated (id:73),AGR2 AGR3 AK7 AK8 AKAP14 ANKRD66 AQP5 BPIFA1 C11orf97 C1orf194 C1orf87 C20orf85 C2orf73 C5orf49 C6orf118 C9orf116 C9orf24 CAMSAP3 CAPN13 CAPN9 CAPSL CCDC103 CCDC113 CCDC33 CCNO CD164L2 CDS1 CETN2 CFAP126 CFAP43 CFAP47 CFAP52 CFAP53 CFAP57 CFAP65 CFAP73 CFAP77 CFAP99 CGN CLDN3 DNAAF3 DNAH5 DNAI1 DRC1 DYNLRB2 EPPIN-WFDC6 FAM183A FAM187A FOXJ1 GAS2L2 IL20RA IQCD KLHDC9 LRRC10B LRRC23 LRRC46 LRRC73 LRRIQ1 MAL2 MAP3K19 MAPK15 MORN5 MS4A8 MSMB NME5 OR7E14P OSCP1 OVOL2 PIFO PRR15 RHOV RIBC1 RIIAD1 RSPH1 SCGB1A1 SCGB2A1 SOWAHB SPAG6 SPDEF SPEF1 STOML3 TEKT1 TEKT2 TEX26 TMEM125 TMEM190 TMEM231 TMEM61 TSNAXIP1 TSPAN1 TTC29 TUBB4B VWA3A WDR38 WFDC2 WFDC6,Other,-1
